,AORKEY,Original Flux (mJy),2_2_6 Flux (mJy),Systematics Flux (mJy),bcd1 Flux (mJy),bcd32 Flux (mJy),bcd64 Flux (mJy),5_5_10 Flux (mJy),Different Sky Subtraction Flux (mJy),"r5, medBCD Flux (mJy)",Original Spread (%),2_2_6 Spread (%),Systematics Spread (%),bcd1 Spread (%),bcd32 Spread (%),bcd64 Spread (%),5_5_10 Spread (%),Different Sky Subtraction Spread (%),"r5, medBCD Spread (%)"
795,40742144,2608.44123631,1920.25918918,2704.38237769,2622.11733028,2651.52770682,2640.31087171,2317.01125306,2516.73598095,2287.58935633,1.42174113663,1.19822622232,1.40529979582,4.17140842475,3.9575899751,2.31188079621,2.11650553116,1.40345546815,0.866459329944
796,40742400,672.953368313,596.905855555,698.343291823,678.161077819,666.755662086,672.628425704,617.896444343,637.124706046,613.069896171,1.71105956826,0.725287308862,2.3813268678,2.29515218066,2.22864191101,1.86102416529,0.93406231635,1.41224468646,1.08772208392
797,40742912,970.370093632,833.545500742,1007.76538014,1003.49982795,939.28018684,1030.61419535,870.381594091,908.894546925,870.312039038,4.6267148862,1.32953919492,4.916323076,8.40569378022,8.26361449743,1.69366298656,0.874066892505,1.15815668228,1.30371674415
798,40743424,2742.41691592,2515.34403973,2843.13640137,2799.87140781,2736.79773445,2698.53948896,2613.51076362,2669.86511244,2618.27657925,1.88042580417,1.75798380271,1.84100182285,2.96105519348,3.34912275275,2.47994559756,0.618396014526,1.11526983124,0.328411498967
799,40743680,4722.879905,4410.02952216,2843.13640137,4740.44614413,4723.85015189,4677.78173992,4554.36874295,4685.85996536,4630.92939147,1.58034834902,0.555038800427,1.84100182285,0.391482317187,2.62661386656,4.14456469296,0.9035793873,1.62495983514,0.622406044724
800,40743936,4039.37761554,3749.31309809,4186.08587371,3949.19262655,4039.30896931,3957.55935011,3867.86542827,3936.78767428,3807.26345043,1.60371125906,1.19133060943,0.951274069104,3.27532540377,2.29778613614,0.614813622439,1.55916974575,1.75777732275,0.502747127548
801,40744192,1828.18237681,1577.47735982,1896.54597357,1718.90724394,1823.71934033,1882.86310716,1655.69563649,1788.58625991,1643.43214197,2.96339527703,0.265190087489,3.42122306981,1.6823660482,4.1758052029,5.78287906661,1.13845815153,3.4645376441,0.388613272636
802,40744448,2020.02521036,1869.13752141,1896.54597357,2041.41851691,2020.63942981,1972.93844106,1940.18075386,1986.63142906,1929.23041727,3.82746009377,4.54383483167,3.42122306981,2.01979212054,4.59009098742,2.60554459587,4.22024721006,3.78289665831,4.92688417294
803,40744704,10242.2520937,9740.73523136,1896.54597357,10197.1096851,10060.0669194,10178.4453945,10023.534668,10145.1978623,10017.2910564,0.861265641934,1.42719525573,3.42122306981,1.01263530248,3.20703047408,1.24093613408,1.02874746619,0.595689289587,1.21777740368
804,40745216,9671.18506243,9119.0636746,1896.54597357,9814.11145777,9818.24671027,9794.37709169,9433.65251373,9560.42658845,9224.51222985,2.95323507075,3.04187491013,3.42122306981,3.42039177127,2.04559602119,1.77984161798,2.68394346531,3.04615981837,3.2578019379
805,40745472,1884.17383952,1684.82817856,1959.97820548,1874.48745163,1889.53017034,1875.53248228,1759.5821092,1801.41771249,1767.11622546,1.80315070769,1.05575253508,2.2779084851,8.422076167,5.23023404366,3.36684183982,1.11554040214,2.19821823085,1.84056460887
806,40745984,410.901063356,338.687314977,426.653475595,429.82810698,413.05150718,404.286049199,359.330342222,375.333809545,359.434389312,2.83864838723,1.43612186397,2.90416384478,4.33407607788,0.841612095526,2.2865670164,1.76242629471,2.53872117087,1.65460042464
807,40746496,3053.46287137,2821.93168908,3173.15097487,3043.86698098,3051.71545951,3079.601037,2914.52952213,2999.41775475,2953.06115471,0.583985228611,1.53200079077,0.390771983832,1.37550244816,0.893558839188,3.10635026694,0.738026034935,1.43566423902,2.53792773182
